time,tweets
2019-09-13 01:39:34,28
2019-09-13 01:39:35,45
2019-09-13 01:39:36,25
2019-09-13 01:39:37,26
2019-09-13 01:39:38,22
2019-09-13 01:39:39,38
2019-09-13 01:39:40,28
2019-09-13 01:39:41,7
2019-09-13 01:39:42,24
2019-09-13 01:39:43,29
2019-09-13 01:39:44,47
2019-09-13 01:39:45,33
2019-09-13 01:39:46,41
2019-09-13 01:39:47,32
2019-09-13 01:39:48,23
2019-09-13 01:39:49,20
2019-09-13 01:39:50,31
2019-09-13 01:39:51,38
2019-09-13 01:39:52,29
2019-09-13 01:39:53,49
2019-09-13 01:39:54,57
2019-09-13 01:39:55,22
2019-09-13 01:39:56,37
2019-09-13 01:39:57,32
2019-09-13 01:39:58,39
2019-09-13 01:39:59,14
2019-09-13 01:40:00,34
2019-09-13 01:40:01,32
2019-09-13 01:40:02,26
2019-09-13 01:40:03,29
2019-09-13 01:40:04,34
2019-09-13 01:40:05,39
2019-09-13 01:40:06,20
2019-09-13 01:40:07,41
2019-09-13 01:40:08,46
2019-09-13 01:40:09,13
2019-09-13 01:40:10,36
2019-09-13 01:40:11,39
2019-09-13 01:40:12,8
2019-09-13 01:40:13,30
2019-09-13 01:40:14,28
2019-09-13 01:40:15,43
2019-09-13 01:40:16,27
2019-09-13 01:40:17,24
2019-09-13 01:40:18,53
2019-09-13 01:40:19,32
2019-09-13 01:40:20,23
2019-09-13 01:40:21,36
2019-09-13 01:40:22,30
2019-09-13 01:40:23,43
2019-09-13 01:40:24,47
2019-09-13 01:40:25,15
2019-09-13 01:40:26,38
2019-09-13 01:40:27,29
2019-09-13 01:40:28,24
2019-09-13 01:40:29,36
2019-09-13 01:40:30,20
2019-09-13 01:40:31,16
2019-09-13 01:40:32,22
2019-09-13 01:40:33,26
2019-09-13 01:40:34,27
2019-09-13 01:40:35,21
2019-09-13 01:40:36,46
2019-09-13 01:40:37,7
2019-09-13 01:40:38,28
2019-09-13 01:40:39,19
2019-09-13 01:40:40,40
2019-09-13 01:40:41,33
2019-09-13 01:40:42,36
2019-09-13 01:40:43,34
2019-09-13 01:40:44,26
2019-09-13 01:40:45,33
2019-09-13 01:40:46,30
2019-09-13 01:40:47,34
2019-09-13 01:40:48,48
2019-09-13 01:40:49,28
2019-09-13 01:40:50,26
2019-09-13 01:40:51,15
2019-09-13 01:40:52,33
2019-09-13 01:40:53,30
2019-09-13 01:40:54,25
2019-09-13 01:40:55,52
2019-09-13 01:40:56,25
2019-09-13 01:40:57,36
2019-09-13 01:40:58,22
2019-09-13 01:40:59,28
2019-09-13 01:41:00,33
2019-09-13 01:41:01,20
2019-09-13 01:41:02,17
2019-09-13 01:41:03,27
2019-09-13 01:41:04,27
2019-09-13 01:41:05,16
2019-09-13 01:41:06,18
2019-09-13 01:41:07,33
2019-09-13 01:41:08,25
2019-09-13 01:41:09,22
2019-09-13 01:41:10,23
2019-09-13 01:41:11,31
2019-09-13 01:41:12,8
2019-09-13 01:41:13,20
2019-09-13 01:41:14,33
2019-09-13 01:41:15,30
2019-09-13 01:41:16,24
2019-09-13 01:41:17,29
2019-09-13 01:41:18,32
2019-09-13 01:41:19,15
2019-09-13 01:41:20,35
2019-09-13 01:41:21,37
2019-09-13 01:41:22,36
2019-09-13 01:41:23,27
2019-09-13 01:41:24,22
2019-09-13 01:41:25,25
2019-09-13 01:41:26,34
2019-09-13 01:41:27,25
2019-09-13 01:41:28,41
2019-09-13 01:41:29,21
2019-09-13 01:41:30,22
2019-09-13 01:41:31,35
2019-09-13 01:41:32,29
2019-09-13 01:41:33,24
2019-09-13 01:41:34,23
2019-09-13 01:41:35,18
2019-09-13 01:41:36,34
2019-09-13 01:41:37,31
2019-09-13 01:41:38,17
2019-09-13 01:41:39,14
2019-09-13 01:41:40,21
2019-09-13 01:41:41,33
2019-09-13 01:41:42,31
2019-09-13 01:41:43,38
2019-09-13 01:41:44,13
2019-09-13 01:41:45,19
2019-09-13 01:41:46,19
2019-09-13 01:41:47,25
2019-09-13 01:41:48,25
2019-09-13 01:41:49,28
2019-09-13 01:41:50,39
2019-09-13 01:41:51,23
2019-09-13 01:41:52,24
2019-09-13 01:41:53,24
2019-09-13 01:41:54,28
2019-09-13 01:41:55,50
2019-09-13 01:41:56,33
2019-09-13 01:41:57,28
2019-09-13 01:41:58,30
2019-09-13 01:41:59,32
2019-09-13 01:42:00,21
2019-09-13 01:42:01,37
2019-09-13 01:42:02,23
2019-09-13 01:42:03,24
2019-09-13 01:42:04,38
2019-09-13 01:42:05,33
2019-09-13 01:42:06,30
2019-09-13 01:42:07,26
2019-09-13 01:42:08,13
2019-09-13 01:42:09,20
2019-09-13 01:42:10,29
2019-09-13 01:42:11,33
2019-09-13 01:42:12,30
2019-09-13 01:42:13,19
2019-09-13 01:42:14,26
2019-09-13 01:42:15,40
2019-09-13 01:42:16,36
2019-09-13 01:42:17,43
2019-09-13 01:42:18,21
2019-09-13 01:42:19,26
2019-09-13 01:42:20,27
2019-09-13 01:42:21,42
2019-09-13 01:42:22,32
2019-09-13 01:42:23,26
2019-09-13 01:42:24,15
2019-09-13 01:42:25,40
2019-09-13 01:42:26,30
2019-09-13 01:42:27,38
2019-09-13 01:42:28,31
2019-09-13 01:42:29,43
2019-09-13 01:42:30,29
2019-09-13 01:42:31,25
2019-09-13 01:42:32,37
2019-09-13 01:42:33,28
2019-09-13 01:42:34,47
2019-09-13 01:42:35,41
2019-09-13 01:42:36,16
2019-09-13 01:42:37,22
2019-09-13 01:42:38,28
2019-09-13 01:42:39,26
2019-09-13 01:42:40,20
2019-09-13 01:42:41,27
2019-09-13 01:42:42,32
2019-09-13 01:42:43,36
2019-09-13 01:42:44,41
2019-09-13 01:42:45,38
2019-09-13 01:42:46,46
2019-09-13 01:42:47,23
2019-09-13 01:42:48,26
2019-09-13 01:42:49,40
2019-09-13 01:42:50,18
2019-09-13 01:42:51,34
2019-09-13 01:42:52,33
2019-09-13 01:42:53,41
2019-09-13 01:42:54,32
2019-09-13 01:42:55,30
2019-09-13 01:42:56,47
2019-09-13 01:42:57,38
2019-09-13 01:42:58,20
2019-09-13 01:42:59,30
2019-09-13 01:43:00,40
2019-09-13 01:43:01,28
2019-09-13 01:43:02,22
2019-09-13 01:43:03,28
2019-09-13 01:43:04,28
2019-09-13 01:43:05,25
2019-09-13 01:43:06,35
2019-09-13 01:43:07,29
2019-09-13 01:43:08,7
2019-09-13 01:43:09,28
2019-09-13 01:43:10,27
2019-09-13 01:43:11,40
2019-09-13 01:43:12,22
2019-09-13 01:43:13,26
2019-09-13 01:43:14,13
2019-09-13 01:43:15,21
2019-09-13 01:43:16,31
2019-09-13 01:43:17,27
2019-09-13 01:43:18,21
2019-09-13 01:43:19,35
2019-09-13 01:43:20,25
2019-09-13 01:43:21,15
2019-09-13 01:43:22,34
2019-09-13 01:43:23,28
2019-09-13 01:43:24,35
2019-09-13 01:43:25,18
2019-09-13 01:43:26,37
2019-09-13 01:43:27,36
2019-09-13 01:43:28,23
2019-09-13 01:43:29,33
2019-09-13 01:43:30,13
2019-09-13 01:43:31,32
2019-09-13 01:43:32,29
2019-09-13 01:43:33,28
2019-09-13 01:43:34,25
2019-09-13 01:43:35,12
2019-09-13 01:43:36,25
2019-09-13 01:43:37,29
2019-09-13 01:43:38,20
2019-09-13 01:43:39,35
2019-09-13 01:43:40,37
2019-09-13 01:43:41,43
2019-09-13 01:43:42,39
2019-09-13 01:43:43,18
2019-09-13 01:43:44,49
2019-09-13 01:43:45,20
2019-09-13 01:43:46,18
2019-09-13 01:43:47,29
2019-09-13 01:43:48,21
2019-09-13 01:43:49,30
2019-09-13 01:43:50,31
2019-09-13 01:43:51,34
2019-09-13 01:43:52,29
2019-09-13 01:43:53,36
2019-09-13 01:43:54,22
2019-09-13 01:43:55,23
2019-09-13 01:43:56,24
2019-09-13 01:43:57,28
2019-09-13 01:43:58,27
2019-09-13 01:43:59,34
2019-09-13 01:44:00,43
2019-09-13 01:44:01,33
2019-09-13 01:44:02,27
2019-09-13 01:44:03,53
2019-09-13 01:44:04,29
2019-09-13 01:44:05,27
2019-09-13 01:44:06,35
2019-09-13 01:44:07,22
2019-09-13 01:44:08,15
2019-09-13 01:44:09,42
2019-09-13 01:44:10,27
2019-09-13 01:44:11,24
2019-09-13 01:44:12,28
2019-09-13 01:44:13,33
2019-09-13 01:44:14,32
2019-09-13 01:44:15,23
2019-09-13 01:44:16,41
2019-09-13 01:44:17,29
2019-09-13 01:44:18,20
2019-09-13 01:44:19,21
2019-09-13 01:44:20,8
2019-09-13 01:44:21,13
2019-09-13 01:44:22,24
2019-09-13 01:44:23,18
2019-09-13 01:44:24,34
2019-09-13 01:44:25,22
2019-09-13 01:44:26,7
2019-09-13 01:44:27,30
2019-09-13 01:44:28,20
2019-09-13 01:44:29,22
2019-09-13 01:44:30,27
2019-09-13 01:44:31,22
2019-09-13 01:44:32,11
2019-09-13 01:44:33,13
2019-09-13 01:44:34,10
2019-09-13 01:44:35,25
2019-09-13 01:44:36,16
2019-09-13 01:44:37,33
2019-09-13 01:44:38,17
2019-09-13 01:44:39,17
2019-09-13 01:44:40,21
2019-09-13 01:44:41,16
2019-09-13 01:44:42,14
2019-09-13 01:44:44,21
2019-09-13 01:44:45,22
2019-09-13 01:44:46,28
2019-09-13 01:44:47,9
2019-09-13 01:44:48,30
2019-09-13 01:44:49,32
2019-09-13 01:44:50,36
2019-09-13 01:44:51,26
2019-09-13 01:44:52,36
2019-09-13 01:44:53,15
2019-09-13 01:44:54,18
2019-09-13 01:44:55,17
2019-09-13 01:44:56,31
2019-09-13 01:44:57,24
2019-09-13 01:44:58,25
2019-09-13 01:44:59,30
2019-09-13 01:45:00,31
2019-09-13 01:45:01,33
2019-09-13 01:45:02,24
2019-09-13 01:45:03,16
2019-09-13 01:45:04,17
2019-09-13 01:45:05,3
2019-09-13 01:45:06,13
2019-09-13 01:45:07,28
2019-09-13 01:45:08,11
2019-09-13 01:45:09,19
2019-09-13 01:45:10,30
2019-09-13 01:45:11,23
2019-09-13 01:45:12,26
2019-09-13 01:45:13,33
2019-09-13 01:45:14,15
2019-09-13 01:45:15,20
2019-09-13 01:45:16,24
2019-09-13 01:45:17,14
2019-09-13 01:45:18,21
2019-09-13 01:45:19,26
2019-09-13 01:45:20,30
2019-09-13 01:45:21,15
2019-09-13 01:45:22,27
2019-09-13 01:45:23,15
2019-09-13 01:45:24,20
2019-09-13 01:45:25,36
2019-09-13 01:45:26,42
2019-09-13 01:45:27,21
2019-09-13 01:45:28,27
2019-09-13 01:45:29,15
2019-09-13 01:45:30,13
2019-09-13 01:45:31,26
2019-09-13 01:45:32,20
2019-09-13 01:45:33,8
2019-09-13 01:45:34,26
2019-09-13 01:45:35,21
2019-09-13 01:45:36,32
2019-09-13 01:45:37,18
2019-09-13 01:45:38,33
2019-09-13 01:45:39,25
2019-09-13 01:45:40,27
2019-09-13 01:45:41,18
2019-09-13 01:45:42,28
2019-09-13 01:45:43,36
2019-09-13 01:45:44,4
