tweet url,count,archive url
https://twitter.com/crystal1johnson/status/801201247214673920,http://web.archive.org/web/20161204031928/https://twitter.com/Crystal1Johnson/status/801201247214673920,4
https://twitter.com/crystal1johnson/status/801550530325557248,http://web.archive.org/web/20161205022821/https://twitter.com/Crystal1Johnson/status/801550530325557248,4
https://twitter.com/crystal1johnson/status/801559738555113472,http://web.archive.org/web/20161205022644/https://twitter.com/Crystal1Johnson/status/801559738555113472,4
https://twitter.com/crystal1johnson/status/801566813385428992,http://web.archive.org/web/20161201020840/https://twitter.com/crystal1johnson/status/801566813385428992,4
https://twitter.com/crystal1johnson/status/804430779631534080,http://web.archive.org/web/20161219050655/https://twitter.com/Crystal1Johnson/status/804430779631534080,4
https://twitter.com/crystal1johnson/status/808430664085344256,http://web.archive.org/web/20161229231918/https://twitter.com/Crystal1Johnson/status/808430664085344256,4
https://twitter.com/crystal1johnson/status/859920472351178752,http://web.archive.org/web/20170616134950/https://twitter.com/crystal1johnson/status/859920472351178752?lang=en-gb,4
https://twitter.com/crystal1johnson/status/869677639652519936,http://web.archive.org/web/20190913083707/https://twitter.com/Crystal1Johnson/status/869677639652519936,4
https://twitter.com/crystal1johnson/status/878723167019192320,http://web.archive.org/web/20170629090622/https://twitter.com/crystal1johnson/status/878723167019192320,4
https://twitter.com/crystal1johnson/status/892458944031055872,http://web.archive.org/web/20170804185932/https://twitter.com/crystal1johnson/status/892458944031055872,4
https://twitter.com/crystal1johnson/status/892517390134763523,http://web.archive.org/web/20170803162910/https://twitter.com/Crystal1Johnson/status/892517390134763523,4
https://twitter.com/crystal1johnson/status/717453500850900992,http://web.archive.org/web/20160609040136/https://twitter.com/Crystal1Johnson/status/717453500850900992,3
https://twitter.com/crystal1johnson/status/775056981983842304,http://web.archive.org/web/20161231071952/https://twitter.com/crystal1johnson/status/775056981983842304?lang=en-gb,3
https://twitter.com/crystal1johnson/status/777989058689536000,http://web.archive.org/web/20180308192602/https://twitter.com/Crystal1Johnson/status/777989058689536000,3
https://twitter.com/crystal1johnson/status/779752427104849920,http://web.archive.org/web/20161001013940/https://twitter.com/Crystal1Johnson/status/779752427104849920,3
https://twitter.com/crystal1johnson/status/784928062164963328,http://web.archive.org/web/20161228212128/https://twitter.com/crystal1johnson/status/784928062164963328,3
https://twitter.com/crystal1johnson/status/784928115323707392,http://web.archive.org/web/20161201040738/https://twitter.com/crystal1johnson/status/784928115323707392,3
https://twitter.com/crystal1johnson/status/786753023997534208,http://web.archive.org/web/20161201035010/https://twitter.com/Crystal1Johnson/status/786753023997534208,3
https://twitter.com/crystal1johnson/status/788575102128361472,http://web.archive.org/web/20161201033720/https://twitter.com/Crystal1Johnson/status/788575102128361472,3
